year,city,coc,count_type,overall_homeless,sheltered_total,unsheltered,overall_individuals,overall_families_people,chronic,veterans,mayor,unsheltered_share,zori,zori_lag1,ln_homeless,ln_zori,ln_zori_lag1,post_2022,asylum_shock,la_emergency,method_warning
2016,Chicago,IL-510,Sheltered and Unsheltered Count,5889.0,4646.0,1243.0,3721.0,2168.0,343.0,601.0,Rahm Emanuel,0.2110714892171845,1416.4647086584046,1376.1896889060952,8.68084148294457,7.255919404493843,7.227073864301781,0,0,0,0
2017,Chicago,IL-510,Sheltered and Unsheltered Count,5657.0,4096.0,1561.0,3724.0,1933.0,863.0,528.0,Rahm Emanuel,0.2759413116492841,1452.8085610293404,1416.4647086584046,8.640648995343156,7.2812539006086725,7.255919404493843,0,0,0,0
2018,Chicago,IL-510,Sheltered and Unsheltered Count,5450.0,4093.0,1357.0,3553.0,1897.0,971.0,494.0,Rahm Emanuel,0.2489908256880734,1488.1665290135645,1452.8085610293404,8.60337088765729,7.305300123790713,7.2812539006086725,0,0,0,0
2019,Chicago,IL-510,Sheltered and Unsheltered Count,5290.0,4030.0,1260.0,3318.0,1972.0,1189.0,399.0,Rahm Emanuel,0.2381852551984877,1530.51871125043,1488.1665290135645,8.573573524852344,7.333361983890892,7.305300123790713,0,0,0,0
2020,Chicago,IL-510,Sheltered and Unsheltered Count,5390.0,3861.0,1529.0,3668.0,1722.0,1521.0,487.0,Lori Lightfoot,0.2836734693877551,1541.8788756532194,1530.51871125043,8.592300663903043,7.3407570008780105,7.333361983890892,0,0,0,0
2021,Chicago,IL-510,Sheltered and Partial Unsheltered Count,3725.0,3023.0,702.0,2487.0,1238.0,585.0,208.0,Lori Lightfoot,0.1884563758389262,1590.467548032544,1541.8788756532194,8.22282213081366,7.3717833073548515,7.3407570008780105,0,0,0,1
2022,Chicago,IL-510,Sheltered and Unsheltered Count,3875.0,2612.0,1263.0,2905.0,970.0,650.0,322.0,Lori Lightfoot,0.3259354838709677,1742.5258453579766,1590.467548032544,8.262300941787448,7.4630909748678524,7.3717833073548515,1,1,0,0
2023,Chicago,IL-510,Sheltered and Unsheltered Count,6139.0,5149.0,990.0,4364.0,1775.0,663.0,317.0,Lori Lightfoot,0.1612640495194657,1852.501087209674,1742.5258453579766,8.722417141427496,7.524291944057883,7.4630909748678524,1,1,0,0
2024,Chicago,IL-510,Sheltered and Unsheltered Count,18836.0,17202.0,1634.0,7955.0,10881.0,2693.0,305.0,Brandon Johnson,0.0867487789339562,1948.0051704318728,1852.501087209674,9.843525211363445,7.574561138424765,7.524291944057883,1,1,0,0
2016,Los Angeles,CA-600,Sheltered and Unsheltered Count,43854.0,11073.0,32781.0,37726.0,6128.0,13468.0,2728.0,Eric Garcetti,0.7475030783964974,1924.819866726288,1812.5612928294893,10.688621213708446,7.5625876666168,7.502496202890568,0,0,0,0
2017,Los Angeles,CA-600,Sheltered and Unsheltered Count,52442.0,13972.0,38470.0,44586.0,7856.0,16249.0,4440.0,Eric Garcetti,0.7335723275237405,2038.615001866856,1924.819866726288,10.867463075975694,7.620025935613768,7.5625876666168,0,0,0,0
2018,Los Angeles,CA-600,Sheltered and Unsheltered Count,49955.0,12385.0,37570.0,42079.0,7876.0,13275.0,3538.0,Eric Garcetti,0.752076869182264,2135.959910087962,2038.615001866856,10.818877879167118,7.66667143121854,7.620025935613768,0,0,0,0
2019,Los Angeles,CA-600,Sheltered and Unsheltered Count,56257.0,13786.0,42471.0,47810.0,8447.0,15538.0,3538.0,Eric Garcetti,0.7549460511580781,2221.797238837154,2135.959910087962,10.937685756768543,7.706071714387445,7.66667143121854,0,0,0,0
2020,Los Angeles,CA-600,Sheltered and Unsheltered Count,63706.0,17616.0,46090.0,51290.0,12416.0,24482.0,3681.0,Eric Garcetti,0.7234797350328069,2246.4194247471673,2221.797238837154,11.062034028647275,7.71709286085036,7.706071714387445,0,0,0,0
2021,Los Angeles,CA-600,Sheltered-Only Count,17225.0,17225.0,0.0,8783.0,8442.0,4215.0,665.0,Eric Garcetti,0.0,2379.444821770707,2246.4194247471673,9.75411709588186,7.774622471290702,7.71709286085036,0,0,0,1
2022,Los Angeles,CA-600,Sheltered and Unsheltered Count,65111.0,19233.0,45878.0,54469.0,10642.0,26985.0,3456.0,Eric Garcetti,0.7046121239114742,2658.270908982711,2379.444821770707,11.083848784736833,7.885431156194876,7.774622471290702,1,0,0,0
2023,Los Angeles,CA-600,Sheltered and Unsheltered Count,71320.0,19013.0,52307.0,60843.0,10477.0,31991.0,3874.0,Karen Bass,0.7334127874369041,2738.9384368711067,2658.270908982711,11.174932071977077,7.91532569251216,7.885431156194876,1,0,1,0
2024,Los Angeles,CA-600,Sheltered and Unsheltered Count,71201.0,21692.0,49509.0,60494.0,10707.0,29823.0,2991.0,Karen Bass,0.6953413575652028,2802.835661176207,2738.9384368711067,11.173262142245258,7.938386919826385,7.91532569251216,1,0,1,0
2016,New York City,NY-600,Sheltered and Unsheltered Count,73523.0,70685.0,2838.0,28965.0,44558.0,4294.0,559.0,Bill de Blasio,0.0386001659344694,2271.2016988652344,2215.644623239199,11.205353561420127,7.728064353161843,7.703298666432391,0,0,0,0
2017,New York City,NY-600,Sheltered and Unsheltered Count,76501.0,72565.0,3936.0,31124.0,45377.0,5755.0,535.0,Bill de Blasio,0.0514503078391132,2312.158838196848,2271.2016988652344,11.245059091624615,7.745936929074654,7.728064353161843,0,0,0,0
2018,New York City,NY-600,Sheltered and Unsheltered Count,78676.0,74965.0,3711.0,33391.0,45285.0,6336.0,605.0,Bill de Blasio,0.0471681325944379,2356.670942466438,2312.158838196848,11.273093432369784,7.765005284563057,7.745936929074654,0,0,0,0
2019,New York City,NY-600,Sheltered and Unsheltered Count,78604.0,74982.0,3622.0,35427.0,43177.0,6226.0,684.0,Bill de Blasio,0.0460790799450409,2428.4437825497994,2356.670942466438,11.272177867707658,7.795005912475155,7.765005284563057,0,0,0,0
2020,New York City,NY-600,Sheltered and Unsheltered Count,77943.0,74039.0,3904.0,36394.0,41549.0,6460.0,688.0,Bill de Blasio,0.0500878847362816,2379.6647336128763,2428.4437825497994,11.26373306929897,7.774714888512776,7.795005912475155,0,0,0,0
2021,New York City,NY-600,Sheltered and Unsheltered Count,68358.0,65975.0,2383.0,34740.0,33618.0,6621.0,625.0,Bill de Blasio,0.0348605869100909,2410.8785425968813,2379.6647336128763,11.13251387992617,7.787746500552589,7.774714888512776,0,0,0,0
2022,New York City,NY-600,Sheltered and Unsheltered Count,61840.0,58385.0,3455.0,32308.0,29532.0,5529.0,482.0,Eric Adams,0.0558699870633893,2809.312107988641,2410.8785425968813,11.032305683261304,7.940694930931501,7.787746500552589,1,1,0,0
2023,New York City,NY-600,Sheltered and Unsheltered Count,88025.0,83940.0,4085.0,41102.0,46923.0,4891.0,567.0,Eric Adams,0.0464072706617438,2957.715150394571,2809.312107988641,11.385376144023253,7.99217234059274,7.940694930931501,1,1,0,0
2024,New York City,NY-600,Sheltered and Unsheltered Count,140134.0,135737.0,4397.0,52679.0,87455.0,4280.0,624.0,Eric Adams,0.0313771104799691,3073.6926165610225,2957.715150394571,11.850354386679436,8.030634924486197,7.99217234059274,1,1,0,0
2016,San Francisco,CA-501,Sheltered-Only Count,6996.0,2638.0,4358.0,6309.0,687.0,1932.0,580.0,Ed Lee,0.6229273870783305,2439.471465429661,2301.134283168826,8.853093836138493,7.799536682294538,7.741157446945705,0,0,0,1
2017,San Francisco,CA-501,Sheltered and Unsheltered Count,6858.0,2505.0,4353.0,6257.0,601.0,2138.0,684.0,Ed Lee,0.6347331583552056,2517.556980298086,2439.471465429661,8.833171133022866,7.83104425802003,7.799536682294538,0,0,0,0
2018,San Francisco,CA-501,Sheltered-Only Count,6857.0,2504.0,4353.0,6211.0,646.0,1757.0,656.0,Mark Farrell (interim),0.6348257255359486,2611.2041620695645,2517.556980298086,8.833025307284364,7.867566758698345,7.83104425802003,0,0,0,1
2019,San Francisco,CA-501,Sheltered and Unsheltered Count,8035.0,2855.0,5180.0,7404.0,631.0,3030.0,608.0,London Breed,0.6446795270690728,2690.6593015361327,2611.2041620695645,8.991562278171614,7.897541536073234,7.867566758698345,0,0,0,0
2020,San Francisco,CA-501,Sheltered-Only Count,8124.0,2944.0,5180.0,7609.0,515.0,2837.0,699.0,London Breed,0.637616937469227,2646.478314141696,2690.6593015361327,9.002577922700276,7.880985097099232,7.897541536073234,0,0,0,1
2021,San Francisco,CA-501,Sheltered-Only Count,4000.0,4000.0,0.0,3411.0,589.0,1668.0,333.0,London Breed,0.0,2609.73749741827,2646.478314141696,8.294049640102028,7.867004919556852,7.880985097099232,0,0,0,1
2022,San Francisco,CA-501,Sheltered and Unsheltered Count,7754.0,3357.0,4397.0,7149.0,605.0,2691.0,605.0,London Breed,0.5670621614650503,2798.5764226634055,2609.73749741827,8.955964118230874,7.936866146396425,7.867004919556852,1,0,0,0
2023,San Francisco,CA-501,Sheltered-Only Count,7582.0,3185.0,4397.0,6958.0,624.0,2520.0,548.0,London Breed,0.5799261408599314,2822.561975912387,2798.5764226634055,8.93353229607628,7.945400253590503,7.936866146396425,1,0,0,1
2024,San Francisco,CA-501,Sheltered and Unsheltered Count,8323.0,3969.0,4354.0,7220.0,1103.0,2989.0,587.0,London Breed,0.5231286795626577,2864.129768798652,2822.561975912387,9.026778045746095,7.960019837388779,7.945400253590503,1,0,0,0
