model,term,coef,std_err,p_value,ci_low,ci_high,n_obs,r2
M1_ln_homeless_base,Intercept,205.151768132445,98.30761367755728,0.04580330421874716,4.0901225917744455,406.21341367311555,36,0.9463253422515254
M1_ln_homeless_base,C(city)[T.Los Angeles],0.5757723897896083,0.5360875549740299,0.29166639092981717,-0.5206497684217228,1.6721945480009395,36,0.9463253422515254
M1_ln_homeless_base,C(city)[T.New York City],0.6132084095644688,0.6630514584664412,0.36268770212812573,-0.7428840875504179,1.9693009066793554,36,0.9463253422515254
M1_ln_homeless_base,C(city)[T.San Francisco],-2.073575129511916,0.7384025745432445,0.008821102761920331,-3.583777962794863,-0.5633722962289689,36,0.9463253422515254
M1_ln_homeless_base,ln_zori,0.7987221008895169,1.7433492483436805,0.6502566844500497,-2.7668274584127466,4.364271660191781,36,0.9463253422515254
M1_ln_homeless_base,ln_zori_lag1,3.5635602513830147,1.833664809244491,0.06172905851948806,-0.18670537021942746,7.313825872985457,36,0.9463253422515254
M1_ln_homeless_base,year,-0.1131386621367414,0.05338430392848967,0.042746310231319154,-0.2223218229559098,-0.003955501317572996,36,0.9463253422515254
M2_ln_homeless_events,Intercept,221.2592264053245,106.73956814677865,0.04785264212450115,2.2477231658372716,440.27072964481175,36,0.9475122054523814
M2_ln_homeless_events,C(city)[T.Los Angeles],0.600977238018441,0.7346020990023894,0.4204623398494556,-0.9063017661851318,2.108256242222014,36,0.9475122054523814
M2_ln_homeless_events,C(city)[T.New York City],0.5381303167268006,0.8995132503958903,0.554661489200756,-1.3075184204138572,2.3837790538674586,36,0.9475122054523814
M2_ln_homeless_events,C(city)[T.San Francisco],-2.1274655469623576,1.0485588025405475,0.05243030895345412,-4.278930496339076,0.02399940241436127,36,0.9475122054523814
M2_ln_homeless_events,ln_zori,-0.005272794912908552,2.4528079325514143,0.9983005956529889,-5.038018961986813,5.027473372160996,36,0.9475122054523814
M2_ln_homeless_events,ln_zori_lag1,4.527248196579389,2.2484841517959553,0.05413211564242929,-0.08626020189783734,9.140756595056615,36,0.9475122054523814
M2_ln_homeless_events,asylum_shock,0.12108386244034897,0.2892437643212092,0.6788035909217813,-0.47239531989553896,0.7145630447762369,36,0.9475122054523814
M2_ln_homeless_events,la_emergency,-0.15555906524422092,0.36314139500565307,0.6717794461408557,-0.9006636613140406,0.5895455308255988,36,0.9475122054523814
M2_ln_homeless_events,year,-0.12169791191367466,0.05887005597660098,0.048421531132721324,-0.24248928927336702,-0.0009065345539822911,36,0.9475122054523814
M2s_ln_homeless_events_no_warn,Intercept,141.79426774076182,81.54764508997094,0.09744283275342396,-28.311139127524967,311.8996746090486,29,0.9782782640325957
M2s_ln_homeless_events_no_warn,C(city)[T.Los Angeles],0.7756939359368166,0.5115307620660613,0.14506126519267945,-0.2913405358850253,1.8427284077586585,29,0.9782782640325957
M2s_ln_homeless_events_no_warn,C(city)[T.New York City],0.5425943379782283,0.626172765688791,0.39647925710959475,-0.7635791629219453,1.848767838878402,29,0.9782782640325957
M2s_ln_homeless_events_no_warn,C(city)[T.San Francisco],-2.0635169774482254,0.7358688981715968,0.01095504832484856,-3.5985126010139625,-0.5285213538824882,29,0.9782782640325957
M2s_ln_homeless_events_no_warn,ln_zori,-0.7373523896154399,1.8467271360383721,0.6939219251221092,-4.589557692465409,3.114852913234529,29,0.9782782640325957
M2s_ln_homeless_events_no_warn,ln_zori_lag1,5.143262130761906,1.633137132370086,0.0050467058931469725,1.7365977682653582,8.549926493258454,29,0.9782782640325957
M2s_ln_homeless_events_no_warn,asylum_shock,-0.034679948350064375,0.20835902053088756,0.8694793517033643,-0.4693092490856079,0.39994935238547913,29,0.9782782640325957
M2s_ln_homeless_events_no_warn,la_emergency,-0.5131302914808593,0.2525682831389281,0.05568895665046306,-1.0399784980473517,0.013717915085633026,29,0.9782782640325957
M2s_ln_homeless_events_no_warn,year,-0.08187376575600204,0.044508664864272005,0.08073429601684079,-0.17471721374947868,0.010969682237474618,29,0.9782782640325957
M3_unsheltered_share_events,Intercept,52.65246913797039,55.516572455468804,0.35133294589959485,-61.25812839654923,166.56306667249,36,0.7470682662145989
M3_unsheltered_share_events,C(city)[T.Los Angeles],0.3532017394575676,0.38207565725884396,0.36345184489811455,-0.4307527537103899,1.1371562326255251,36,0.7470682662145989
M3_unsheltered_share_events,C(city)[T.New York City],-0.21866995855428184,0.46784799121154014,0.6439674301019178,-1.1786147439961192,0.7412748268875555,36,0.7470682662145989
M3_unsheltered_share_events,C(city)[T.San Francisco],0.2913495731618529,0.5453684303370374,0.5975574705056741,-0.827654014928632,1.410353161252338,36,0.7470682662145989
M3_unsheltered_share_events,ln_zori,0.7651075766343939,1.2757358088575779,0.5536809516913048,-1.852486086946242,3.38270124021503,36,0.7470682662145989
M3_unsheltered_share_events,ln_zori_lag1,-0.6767061616969515,1.1694644778448142,0.5676240138092334,-3.0762490652786214,1.7228367418847181,36,0.7470682662145989
M3_unsheltered_share_events,asylum_shock,0.037143242505621815,0.15043926706870012,0.8068543774741388,-0.2715326365428644,0.345819121554108,36,0.7470682662145989
M3_unsheltered_share_events,la_emergency,0.20128513807501863,0.18887434076638415,0.2959927265297036,-0.18625299808954437,0.5888232742395816,36,0.7470682662145989
M3_unsheltered_share_events,year,-0.026296635533604236,0.030619045821772953,0.39799365610289705,-0.0891217281362261,0.03652845706901762,36,0.7470682662145989
