city,year,zori
Chicago,2015,1376.1896889060952
Chicago,2016,1416.4647086584046
Chicago,2017,1452.8085610293404
Chicago,2018,1488.1665290135645
Chicago,2019,1530.51871125043
Chicago,2020,1541.8788756532194
Chicago,2021,1590.467548032544
Chicago,2022,1742.5258453579766
Chicago,2023,1852.5010872096739
Chicago,2024,1948.0051704318728
Chicago,2025,2059.8236897585425
Chicago,2026,2091.2262503221677
New York City,2015,2215.644623239199
New York City,2016,2271.2016988652344
New York City,2017,2312.158838196848
New York City,2018,2356.670942466438
New York City,2019,2428.4437825497994
New York City,2020,2379.6647336128763
New York City,2021,2410.8785425968813
New York City,2022,2809.312107988641
New York City,2023,2957.715150394571
New York City,2024,3073.6926165610225
New York City,2025,3211.952474242486
New York City,2026,3232.316443552771
San Francisco,2015,2301.1342831688266
San Francisco,2016,2439.471465429661
San Francisco,2017,2517.556980298086
San Francisco,2018,2611.2041620695645
San Francisco,2019,2690.6593015361327
San Francisco,2020,2646.478314141696
San Francisco,2021,2609.73749741827
San Francisco,2022,2798.5764226634055
San Francisco,2023,2822.561975912387
San Francisco,2024,2864.129768798652
San Francisco,2025,3001.4332522674395
San Francisco,2026,3063.820825945473
